 0.00	 0.00	732.12	729.48
 0.00	729.48	732.12	729.48
 0.00	1458.96	732.12	729.48
 0.00	2188.44	732.12	729.48
 0.00	2917.92	732.12	729.48
 0.00	3647.40	732.12	729.48
 0.00	4376.88	732.12	729.48
 0.00	5106.36	732.12	729.48
 0.00	5835.84	732.12	729.48
 0.00	6565.32	732.12	729.48
 0.00	7294.80	732.12	729.48
 0.00	8024.28	732.12	729.48
 0.00	8753.76	732.12	729.48
 0.00	9483.24	732.12	729.48
 0.00	10212.72	732.12	729.48
 0.00	10942.20	732.12	729.48
732.12	 0.00	732.12	729.48
732.12	729.48	732.12	729.48
732.12	1458.96	732.12	729.48
732.12	2188.44	732.12	729.48
732.12	2917.92	732.12	729.48
732.12	3647.40	732.12	729.48
732.12	4376.88	732.12	729.48
732.12	5106.36	732.12	729.48
732.12	5835.84	732.12	729.48
732.12	6565.32	732.12	729.48
732.12	7294.80	732.12	729.48
732.12	8024.28	732.12	729.48
732.12	8753.76	732.12	729.48
732.12	9483.24	732.12	729.48
732.12	10212.72	732.12	729.48
732.12	10942.20	732.12	729.48
1464.24	 0.00	732.12	729.48
1464.24	729.48	732.12	729.48
1464.24	1458.96	732.12	729.48
1464.24	2188.44	732.12	729.48
1464.24	2917.92	732.12	729.48
1464.24	3647.40	732.12	729.48
1464.24	4376.88	732.12	729.48
1464.24	5106.36	732.12	729.48
1464.24	5835.84	732.12	729.48
1464.24	6565.32	732.12	729.48
1464.24	7294.80	732.12	729.48
1464.24	8024.28	732.12	729.48
1464.24	8753.76	732.12	729.48
1464.24	9483.24	732.12	729.48
1464.24	10212.72	732.12	729.48
1464.24	10942.20	732.12	729.48
2196.36	 0.00	732.12	729.48
2196.36	729.48	732.12	729.48
2196.36	1458.96	732.12	729.48
2196.36	2188.44	732.12	729.48
2196.36	2917.92	732.12	729.48
2196.36	3647.40	732.12	729.48
2196.36	4376.88	732.12	729.48
2196.36	5106.36	732.12	729.48
2196.36	5835.84	732.12	729.48
2196.36	6565.32	732.12	729.48
2196.36	7294.80	732.12	729.48
2196.36	8024.28	732.12	729.48
2196.36	8753.76	732.12	729.48
2196.36	9483.24	732.12	729.48
2196.36	10212.72	732.12	729.48
2196.36	10942.20	732.12	729.48
2928.48	 0.00	732.12	729.48
2928.48	729.48	732.12	729.48
2928.48	1458.96	732.12	729.48
2928.48	2188.44	732.12	729.48
2928.48	2917.92	732.12	729.48
2928.48	3647.40	732.12	729.48
2928.48	4376.88	732.12	729.48
2928.48	5106.36	732.12	729.48
2928.48	5835.84	732.12	729.48
2928.48	6565.32	732.12	729.48
2928.48	7294.80	732.12	729.48
2928.48	8024.28	732.12	729.48
2928.48	8753.76	732.12	729.48
2928.48	9483.24	732.12	729.48
2928.48	10212.72	732.12	729.48
2928.48	10942.20	732.12	729.48
3660.60	 0.00	732.12	729.48
3660.60	729.48	732.12	729.48
3660.60	1458.96	732.12	729.48
3660.60	2188.44	732.12	729.48
3660.60	2917.92	732.12	729.48
3660.60	3647.40	732.12	729.48
3660.60	4376.88	732.12	729.48
3660.60	5106.36	732.12	729.48
3660.60	5835.84	732.12	729.48
3660.60	6565.32	732.12	729.48
3660.60	7294.80	732.12	729.48
3660.60	8024.28	732.12	729.48
3660.60	8753.76	732.12	729.48
3660.60	9483.24	732.12	729.48
3660.60	10212.72	732.12	729.48
3660.60	10942.20	732.12	729.48
4392.72	 0.00	732.12	729.48
4392.72	729.48	732.12	729.48
4392.72	1458.96	732.12	729.48
4392.72	2188.44	732.12	729.48
4392.72	2917.92	732.12	729.48
4392.72	3647.40	732.12	729.48
4392.72	4376.88	732.12	729.48
4392.72	5106.36	732.12	729.48
4392.72	5835.84	732.12	729.48
4392.72	6565.32	732.12	729.48
4392.72	7294.80	732.12	729.48
4392.72	8024.28	732.12	729.48
4392.72	8753.76	732.12	729.48
4392.72	9483.24	732.12	729.48
4392.72	10212.72	732.12	729.48
4392.72	10942.20	732.12	729.48
5124.84	 0.00	732.12	729.48
5124.84	729.48	732.12	729.48
5124.84	1458.96	732.12	729.48
5124.84	2188.44	732.12	729.48
5124.84	2917.92	732.12	729.48
5124.84	3647.40	732.12	729.48
5124.84	4376.88	732.12	729.48
5124.84	5106.36	732.12	729.48
5124.84	5835.84	732.12	729.48
5124.84	6565.32	732.12	729.48
5124.84	7294.80	732.12	729.48
5124.84	8024.28	732.12	729.48
5124.84	8753.76	732.12	729.48
5124.84	9483.24	732.12	729.48
5124.84	10212.72	732.12	729.48
5124.84	10942.20	732.12	729.48
5856.96	 0.00	732.12	729.48
5856.96	729.48	732.12	729.48
5856.96	1458.96	732.12	729.48
5856.96	2188.44	732.12	729.48
5856.96	2917.92	732.12	729.48
5856.96	3647.40	732.12	729.48
5856.96	4376.88	732.12	729.48
5856.96	5106.36	732.12	729.48
5856.96	5835.84	732.12	729.48
5856.96	6565.32	732.12	729.48
5856.96	7294.80	732.12	729.48
5856.96	8024.28	732.12	729.48
5856.96	8753.76	732.12	729.48
5856.96	9483.24	732.12	729.48
5856.96	10212.72	732.12	729.48
